global time	experiment	device	var1	var2	var3	var4	var5	var6	board	x	y	var7	var8	var9	var10	var11	var12	var13	var14	var15	var16
03:39.3	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.116497	1.259857	-0.129314	0.3990844	-0.2516682	0.8816999	whiteboard (video)	0.3336195	0.6483061	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:39.4	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.1197678	1.259521	-0.1271029	0.2997145	-0.2422959	0.922748	whiteboard (video)	0.1051961	0.664011	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:39.5	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.1005427	1.258091	-0.1364137	0.2730425	-0.2368909	0.9323789	whiteboard (video)	0.1195433	0.6662729	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:39.6	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.1065952	1.25854	-0.1335993	0.2407373	-0.2215327	0.9449703	whiteboard (video)	0.02941939	0.687083	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:39.7	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.09986643	1.257972	-0.1368293	0.2274646	-0.222228	0.94809	whiteboard (video)	0.02686673	0.6843855	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:39.8	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.09719212	1.258381	-0.137702	0.2685026	-0.03952425	0.9624677	whiteboard (video)	0.1067438	0.9030111	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:39.9	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.0991848	1.258605	-0.1368164	0.2594421	-0.07326247	0.9629758	whiteboard (video)	0.08242866	0.8643069	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:40.0	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.1012122	1.259174	-0.1358346	0.2647761	0.01872671	0.964128	whiteboard (video)	0.08439097	0.9719799	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:40.1	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.09995692	1.25895	-0.1365422	0.2574972	0.001079599	0.9662784	whiteboard (video)	0.07443374	0.9511485	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:40.2	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.1082339	1.260614	-0.1342604	0.3945954	-0.02291895	0.918569	whiteboard (video)	0.3278416	0.9264371	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:40.3	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.08600921	1.258709	-0.1438922	0.3507003	-0.02043818	0.9362647	whiteboard (video)	0.316241	0.9255207	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:40.4	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.09149762	1.258987	-0.1416323	0.358642	-0.02268616	0.9331995	whiteboard (video)	0.3130312	0.9234579	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:40.5	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.08588241	1.258463	-0.144353	0.5615491	-0.06244773	0.8250836	whiteboard (video)	0.8076125	0.8716264	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:40.6	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.107596	1.260734	-0.1356858	0.5665975	-0.06930226	0.8210753	whiteboard (video)	0.7408768	0.8678758	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:40.7	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.1098602	1.260911	-0.1347028	0.5670213	-0.06879433	0.8208252	whiteboard (video)	0.7333606	0.8689001	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:40.8	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.1054234	1.260161	-0.1361263	0.6358132	-0.09698424	0.7657255	whiteboard (video)	0.9494756	0.8277688	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:40.9	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.1056714	1.260106	-0.1357418	0.6271545	-0.09385064	0.7732201	whiteboard (video)	0.920974	0.8324206	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:41.0	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.09709268	1.259069	-0.1390888	0.6214038	-0.0871999	0.7786227	whiteboard (video)	0.9347415	0.8390915	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:41.1	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.08184457	1.256421	-0.1446509	0.5898495	-0.2479265	0.7685115	whiteboard (video)	0.9472765	0.6219847	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:41.2	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.09859474	1.257866	-0.137503	0.6104437	-0.2415386	0.7543327	whiteboard (video)	0.9425701	0.6316314	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:41.3	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.08895108	1.257172	-0.1421205	0.6023522	-0.2295263	0.7645191	whiteboard (video)	0.9503877	0.6475494	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:41.4	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.08898037	1.25714	-0.1424165	0.5993077	-0.2322219	0.7660962	whiteboard (video)	0.9429983	0.6440799	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:41.5	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.09632533	1.257715	-0.1392977	0.6125433	-0.2466914	0.7509555	whiteboard (video)	0.962199	0.6229298	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:41.6	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.08971986	1.257479	-0.1421093	0.608244	-0.2414342	0.7561407	whiteboard (video)	0.971585	0.6302106	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:41.7	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.09011071	1.257535	-0.1420335	0.6080234	-0.2384089	0.7572773	whiteboard (video)	0.9681814	0.6346447	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:41.8	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.09681027	1.258196	-0.1398342	0.4120717	-0.2457184	0.8773935	whiteboard (video)	0.4369697	0.6491904	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:41.9	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.1181438	1.259874	-0.1294576	0.3785157	-0.25831	0.8888205	whiteboard (video)	0.2845931	0.6405861	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:42.0	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.1176002	1.259982	-0.1299281	0.3810529	-0.2551868	0.8886385	whiteboard (video)	0.2917828	0.6445453	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:42.1	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.1008388	1.258529	-0.1377779	0.223898	-0.2448949	0.9433431	whiteboard (video)	0.01974899	0.6563818	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:42.2	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.1026319	1.258446	-0.1366016	0.2547275	-0.2498661	0.9341738	whiteboard (video)	0.0770039	0.650291	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:42.3	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.09222414	1.257897	-0.141598	0.2386997	-0.2451279	0.9396461	whiteboard (video)	0.08110514	0.6541173	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
03:42.4	bec83924620239d38e6ff79ac79b8853	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20210409.201441)	-0.09217196	1.258651	-0.141876	0.2231905	-0.0777757	0.9716671	whiteboard (video)	0.03696722	0.858614	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
