global time	experiment	device	var1	var2	var3	var4	var5	var6	board	x	y	var7	var8	var9	var10	var11	var12	var13	var14	var15	var16
51:21.6	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.01210531	1.157339	-0.1174707	0.3060792	0.08607981	0.9481064	whiteboard (video)	0.5108931	0.8385992	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:21.7	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	-0.001314866	1.15663	-0.1144622	0.2575607	0.06659639	0.9639645	whiteboard (video)	0.3743726	0.8162186	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:21.8	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	-0.005237261	1.156408	-0.1134802	0.2685057	0.0571332	0.9615823	whiteboard (video)	0.3807583	0.8056669	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:21.9	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	-0.002712359	1.156328	-0.1142088	0.2626837	0.06900998	0.962411	whiteboard (video)	0.3791596	0.8182168	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:22.0	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	-0.008622478	1.15601	-0.1117145	0.3936826	0.07174546	0.9164423	whiteboard (video)	0.6064203	0.8212497	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:22.1	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	-0.007840184	1.155877	-0.1115061	0.390735	0.06739281	0.9180329	whiteboard (video)	0.6025221	0.8161836	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:22.2	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	-0.01029722	1.156399	-0.109017	0.3977575	0.1367953	0.9072353	whiteboard (video)	0.6110832	0.8926239	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:22.3	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	-0.01081291	1.156304	-0.1102024	0.4024544	0.1262252	0.906696	whiteboard (video)	0.6193505	0.8812475	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:22.4	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.0387001	1.15432	-0.1455242	0.2835341	-0.08257876	0.9554	whiteboard (video)	0.5803622	0.649188	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:22.6	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.03753191	1.153922	-0.1482243	0.3055218	-0.09176673	0.9477528	whiteboard (video)	0.6224424	0.6374922	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:22.8	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	-0.01587628	1.155554	-0.110967	0.4066524	0.1397852	0.9028255	whiteboard (video)	0.6147163	0.8954208	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:22.9	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.04550126	1.157417	-0.1231713	0.2598642	0.1267322	0.9572929	whiteboard (video)	0.5396413	0.8818026	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:23.0	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	-0.0112418	1.155531	-0.1109053	0.288099	0.09739678	0.9526347	whiteboard (video)	0.3970174	0.8469939	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:23.1	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.0250966	1.156465	-0.1196474	0.211644	0.09543663	0.972676	whiteboard (video)	0.3811136	0.8466237	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:23.2	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	-0.001020299	1.15607	-0.1130818	0.2268935	0.09358086	0.9694132	whiteboard (video)	0.3190311	0.8438318	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:23.3	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.01322165	1.156542	-0.1169998	0.1976291	0.1006981	0.975091	whiteboard (video)	0.315221	0.8526022	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
51:23.4	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0.009823693	1.156733	-0.1160157	0.3506076	0.1197621	0.9288333	whiteboard (video)	0.58876	0.8741162	0.173	0.669	0.392	0	0.1271425	0	0.9918845	0.5	0.5	0.5
